"trialNo","trialCode","stimFile","trialDuration","timeElapsed","trialOnset","corrAns","clockSource","trialType","questionTxt"
1,0,,0.767746691359207,0.767746691359207,0,,,,
2,1,"5_aRevClock_a3.tiff",2,2.76774669135921,0.767746691359207,,,,
3,0,,0.744566672714427,3.51231336407363,2.76774669135921,,,,
4,1,"4_aClock_a3.tiff",2,5.51231336407363,3.51231336407363,,,,
5,0,,0.997531346860342,6.50984471093398,5.51231336407363,,,,
6,3,"EmptyImageryBox.tiff",3,9.50984471093398,6.50984471093398,,,,
7,5,"4_aClock_a3.tiff",3,12.509844710934,9.50984471093398,1,"4_aClock_a3.tiff","TP","Is this the same IMAGE?"
8,0,,0.98958761850372,13.4994323294377,12.509844710934,,,,
9,1,"4_aRevClock_a4.tiff",2,15.4994323294377,13.4994323294377,,,,
10,0,,0.819647174794227,16.3190795042319,15.4994323294377,,,,
11,1,"10_aClock_a2.tiff",2,18.3190795042319,16.3190795042319,,,,
12,0,,0.915366848814301,19.2344463530462,18.3190795042319,,,,
13,3,"EmptyImageryBox.tiff",3,22.2344463530462,19.2344463530462,,,,
14,4,"10_aRevClock_a2.tiff",3,25.2344463530462,22.2344463530462,1,"10_aClock_a2.tiff","TP","Is this the same ANGLE?"
15,0,,0.729363290243782,25.96380964329,25.2344463530462,,,,
16,1,"9_aRevClock_a4.tiff",2,27.96380964329,25.96380964329,,,,
17,0,,0.939957152120769,28.9037667954108,27.96380964329,,,,
18,1,"6_aRevClock_a6.tiff",2,30.9037667954108,28.9037667954108,,,,
19,0,,0.96265775768552,31.8664245530963,30.9037667954108,,,,
20,3,"EmptyImageryBox.tiff",3,34.8664245530963,31.8664245530963,,,,
21,5,"6_aRevClock_a6.tiff",3,37.8664245530963,34.8664245530963,1,"6_aRevClock_a6.tiff","TP","Is this the same IMAGE?"
22,0,,0.675845914520323,38.5422704676166,37.8664245530963,,,,
23,1,"6_aClock_a3.tiff",2,40.5422704676166,38.5422704676166,,,,
24,0,,0.730946982745081,41.2732174503617,40.5422704676166,,,,
25,1,"3_aRevClock_a4.tiff",2,43.2732174503617,41.2732174503617,,,,
26,0,,0.969843398197554,44.2430608485593,43.2732174503617,,,,
27,1,"4_aClock_a1.tiff",2,46.2430608485593,44.2430608485593,,,,
28,0,,0.509835302364081,46.7528961509233,46.2430608485593,,,,
29,1,"7_aClock_a1.tiff",2,48.7528961509233,46.7528961509233,,,,
30,0,,0.863452682970092,49.6163488338934,48.7528961509233,,,,
31,3,"EmptyImageryBox.tiff",3,52.6163488338934,49.6163488338934,,,,
32,5,"7_aRevClock_a1.tiff",3,55.6163488338934,52.6163488338934,2,"7_aClock_a1.tiff","FP","Is this the same IMAGE?"
33,0,,0.609184326836839,56.2255331607303,55.6163488338934,,,,
34,1,"5_aRevClock_a6.tiff",2,58.2255331607303,56.2255331607303,,,,
35,0,,0.688159288605675,58.9136924493359,58.2255331607303,,,,
36,1,"8_aRevClock_a4.tiff",2,60.9136924493359,58.9136924493359,,,,
37,0,,0.706665791920386,61.6203582412563,60.9136924493359,,,,
38,1,"5_aRevClock_a5.tiff",2,63.6203582412563,61.6203582412563,,,,
39,0,,0.833971439977176,64.4543296812335,63.6203582412563,,,,
40,3,"EmptyImageryBox.tiff",3,67.4543296812335,64.4543296812335,,,,
41,5,"5_aRevClock_a5.tiff",3,70.4543296812335,67.4543296812335,1,"5_aRevClock_a5.tiff","TP","Is this the same IMAGE?"
42,0,,0.638286425732076,71.0926161069656,70.4543296812335,,,,
43,1,"3_aRevClock_a1.tiff",2,73.0926161069656,71.0926161069656,,,,
44,0,,0.65422724885866,73.7468433558242,73.0926161069656,,,,
45,1,"8_aClock_a2.tiff",2,75.7468433558242,73.7468433558242,,,,
46,0,,0.657441738178022,76.4042850940023,75.7468433558242,,,,
47,1,"6_aClock_a5.tiff",2,78.4042850940023,76.4042850940023,,,,
48,0,,0.91701239394024,79.3212974879425,78.4042850940023,,,,
49,3,"EmptyImageryBox.tiff",3,82.3212974879425,79.3212974879425,,,,
50,4,"6_aRevClock_a5.tiff",3,85.3212974879425,82.3212974879425,1,"6_aClock_a5.tiff","TP","Is this the same ANGLE?"
51,0,,0.985078966361471,86.306376454304,85.3212974879425,,,,
52,1,"8_aRevClock_a1.tiff",2,88.306376454304,86.306376454304,,,,
53,0,,0.544523197808303,88.8508996521123,88.306376454304,,,,
54,1,"3_aClock_a2.tiff",2,90.8508996521123,88.8508996521123,,,,
55,0,,0.910042622708715,91.760942274821,90.8508996521123,,,,
56,3,"EmptyImageryBox.tiff",3,94.760942274821,91.760942274821,,,,
57,5,"3_aRevClock_a2.tiff",3,97.760942274821,94.760942274821,2,"3_aClock_a2.tiff","FP","Is this the same IMAGE?"
58,0,,0.528767336043529,98.2897096108645,97.760942274821,,,,
59,1,"9_aClock_a1.tiff",2,100.289709610865,98.2897096108645,,,,
60,0,,0.735994724673219,101.025704335538,100.289709610865,,,,
61,1,"9_aRevClock_a6.tiff",2,103.025704335538,101.025704335538,,,,
62,0,,0.629963734187186,103.655668069725,103.025704335538,,,,
63,3,"EmptyImageryBox.tiff",3,106.655668069725,103.655668069725,,,,
64,4,"10_aClock_a5.tiff",3,109.655668069725,106.655668069725,2,"9_aRevClock_a6.tiff","TN","Is this the same ANGLE?"
65,0,,0.814722582465038,110.47039065219,109.655668069725,,,,
66,1,"7_aRevClock_a6.tiff",2,112.47039065219,110.47039065219,,,,
67,0,,0.589613708201796,113.060004360392,112.47039065219,,,,
68,1,"7_aRevClock_a4.tiff",2,115.060004360392,113.060004360392,,,,
69,0,,0.729141615098342,115.78914597549,115.060004360392,,,,
70,3,"EmptyImageryBox.tiff",3,118.78914597549,115.78914597549,,,,
71,4,"7_aClock_a3.tiff",3,121.78914597549,118.78914597549,2,"7_aRevClock_a4.tiff","TN","Is this the same ANGLE?"
72,0,,0.82376508123707,122.612911056727,121.78914597549,,,,
73,1,"10_aRevClock_a3.tiff",2,124.612911056727,122.612911056727,,,,
74,0,,0.505082329385914,125.117993386113,124.612911056727,,,,
75,1,"3_aRevClock_a5.tiff",2,127.117993386113,125.117993386113,,,,
76,0,,0.796344891074114,127.914338277187,127.117993386113,,,,
77,3,"EmptyImageryBox.tiff",3,130.914338277187,127.914338277187,,,,
78,4,"3_aClock_a5.tiff",3,133.914338277187,130.914338277187,1,"3_aRevClock_a5.tiff","TP","Is this the same ANGLE?"
79,0,,0.705918844672851,134.62025712186,133.914338277187,,,,
80,1,"4_aClock_a6.tiff",2,136.62025712186,134.62025712186,,,,
81,0,,0.786727499566041,137.406984621426,136.62025712186,,,,
82,1,"2_aClock_a2.tiff",2,139.406984621426,137.406984621426,,,,
83,0,,0.894660709076561,140.301645330503,139.406984621426,,,,
84,1,"2_aClock_a4.tiff",2,142.301645330503,140.301645330503,,,,
85,0,,0.753247650689445,143.054892981192,142.301645330503,,,,
86,3,"EmptyImageryBox.tiff",3,146.054892981192,143.054892981192,,,,
87,0,,0.934967548819259,146.989860530011,146.054892981192,,,,
88,1,"8_aRevClock_a5.tiff",2,148.989860530011,146.989860530011,,,,
89,0,,0.94081961910706,149.930680149118,148.989860530011,,,,
90,1,"2_aClock_a1.tiff",2,151.930680149118,149.930680149118,,,,
91,0,,0.67898128728848,152.609661436407,151.930680149118,,,,
92,3,"EmptyImageryBox.tiff",3,155.609661436407,152.609661436407,,,,
93,0,,0.999560755910352,156.609222192317,155.609661436407,,,,
94,1,"1_aClock_a2.tiff",2,158.609222192317,156.609222192317,,,,
95,0,,0.691340592456982,159.300562784774,158.609222192317,,,,
96,1,"1_aClock_a5.tiff",2,161.300562784774,159.300562784774,,,,
97,0,,0.898210024111904,162.198772808886,161.300562784774,,,,
98,1,"9_aRevClock_a2.tiff",2,164.198772808886,162.198772808886,,,,
99,0,,0.666399814537726,164.865172623424,164.198772808886,,,,
100,3,"EmptyImageryBox.tiff",3,167.865172623424,164.865172623424,,,,
101,5,"9_aClock_a2.tiff",3,170.865172623424,167.865172623424,2,"9_aRevClock_a2.tiff","FP","Is this the same IMAGE?"
102,0,,0.532024219399318,171.397196842823,170.865172623424,,,,
103,1,"1_aClock_a3.tiff",2,173.397196842823,171.397196842823,,,,
104,0,,0.79205207596533,174.189248918789,173.397196842823,,,,
105,1,"2_aClock_a6.tiff",2,176.189248918789,174.189248918789,,,,
106,0,,0.777397392899729,176.966646311688,176.189248918789,,,,
107,3,"EmptyImageryBox.tiff",3,179.966646311688,176.966646311688,,,,
108,4,"1_aClock_a5.tiff",3,182.966646311688,179.966646311688,2,"2_aClock_a6.tiff","TN","Is this the same ANGLE?"
109,0,,0.974496083101258,183.941142394789,182.966646311688,,,,
110,1,"7_aClock_a3.tiff",2,185.941142394789,183.941142394789,,,,
111,0,,0.958610214293003,186.899752609082,185.941142394789,,,,
112,1,"10_aRevClock_a5.tiff",2,188.899752609082,186.899752609082,,,,
