"trialNo","trialCode","stimFile","trialDuration","timeElapsed","trialOnset","corrAns","clockSource","trialType","questionTxt"
1,0,,0.597177801188082,0.597177801188082,0,,,,
2,1,"8_aRevClock_a2.tiff",2,2.59717780118808,0.597177801188082,,,,
3,0,,0.815733414143324,3.41291121533141,2.59717780118808,,,,
4,1,"10_aClock_a3.tiff",2,5.41291121533141,3.41291121533141,,,,
5,0,,0.765082802972756,6.17799401830416,5.41291121533141,,,,
6,1,"5_aClock_a6.tiff",2,8.17799401830416,6.17799401830416,,,,
7,0,,0.642779002664611,8.82077302096877,8.17799401830416,,,,
8,1,"4_aRevClock_a1.tiff",2,10.8207730209688,8.82077302096877,,,,
9,0,,0.501850021304563,11.3226230422733,10.8207730209688,,,,
10,3,"EmptyImageryBox.tiff",3,14.3226230422733,11.3226230422733,,,,
11,0,,0.559543453622609,14.8821664958959,14.3226230422733,,,,
12,1,"9_aClock_a4.tiff",2,16.8821664958959,14.8821664958959,,,,
13,0,,0.953695145319216,17.8358616412152,16.8821664958959,,,,
14,1,"2_aRevClock_a2.tiff",2,19.8358616412152,17.8358616412152,,,,
15,0,,0.854253664729185,20.6901153059443,19.8358616412152,,,,
16,3,"EmptyImageryBox.tiff",3,23.6901153059443,20.6901153059443,,,,
17,0,,0.830329377553426,24.5204446834978,23.6901153059443,,,,
18,1,"8_aClock_a4.tiff",2,26.5204446834978,24.5204446834978,,,,
19,0,,0.615630212356336,27.1360748958541,26.5204446834978,,,,
20,1,"7_aClock_a4.tiff",2,29.1360748958541,27.1360748958541,,,,
21,0,,0.672484362730756,29.8085592585849,29.1360748958541,,,,
22,3,"EmptyImageryBox.tiff",3,32.8085592585849,29.8085592585849,,,,
23,4,"7_aRevClock_a3.tiff",3,35.8085592585849,32.8085592585849,2,"7_aClock_a4.tiff","TN","Is this the same ANGLE?"
24,0,,0.852501119952649,36.6610603785375,35.8085592585849,,,,
25,1,"1_aRevClock_a5.tiff",2,38.6610603785375,36.6610603785375,,,,
26,0,,0.777725694118999,39.4387860726565,38.6610603785375,,,,
27,1,"1_aRevClock_a2.tiff",2,41.4387860726565,39.4387860726565,,,,
28,0,,0.677409618394449,42.116195691051,41.4387860726565,,,,
29,1,"3_aClock_a4.tiff",2,44.116195691051,42.116195691051,,,,
30,0,,0.60144774208311,44.7176434331341,44.116195691051,,,,
31,1,"3_aClock_a5.tiff",2,46.7176434331341,44.7176434331341,,,,
32,0,,0.747704813838936,47.465348246973,46.7176434331341,,,,
33,3,"EmptyImageryBox.tiff",3,50.465348246973,47.465348246973,,,,
34,5,"3_aRevClock_a5.tiff",3,53.465348246973,50.465348246973,2,"3_aClock_a5.tiff","FP","Is this the same IMAGE?"
35,0,,0.62513172486797,54.090479971841,53.465348246973,,,,
36,1,"10_aClock_a5.tiff",2,56.090479971841,54.090479971841,,,,
37,0,,0.737606807961129,56.8280867798021,56.090479971841,,,,
38,1,"10_aRevClock_a2.tiff",2,58.8280867798021,56.8280867798021,,,,
