"trialNo","trialCode","stimFile","trialDuration","timeElapsed","trialOnset","corrAns","clockSource","trialType","questionTxt"
1,0,,0.728678413666785,0.728678413666785,0,,,,
2,1,"6_d12Clock_a3.tiff",2,2.72867841366678,0.728678413666785,,,,
3,0,,0.80190856626723,3.53058697993401,2.72867841366678,,,,
4,1,"2_d12Clock_a1.tiff",2,5.53058697993401,3.53058697993401,,,,
5,0,,0.719048123224638,6.24963510315865,5.53058697993401,,,,
6,3,"EmptyImageryBox.tiff",3,9.24963510315865,6.24963510315865,,,,
7,4,"2_d24Clock_a1.tiff",3,12.2496351031587,9.24963510315865,1,"2_d12Clock_a1.tiff","TP","Is this the same TIME?"
8,0,,0.73904866760131,12.98868377076,12.2496351031587,,,,
9,1,"7_d24Clock_a1.tiff",2,14.98868377076,12.98868377076,,,,
10,0,,0.917220544186421,15.9059043149464,14.98868377076,,,,
11,1,"10_d12Clock_a2.tiff",2,17.9059043149464,15.9059043149464,,,,
12,0,,0.838772997725755,18.7446773126721,17.9059043149464,,,,
13,1,"5_d24Clock_a5.tiff",2,20.7446773126721,18.7446773126721,,,,
14,0,,0.875147777842358,21.6198250905145,20.7446773126721,,,,
15,3,"EmptyImageryBox.tiff",3,24.6198250905145,21.6198250905145,,,,
16,5,"5_d24Clock_a5.tiff",3,27.6198250905145,24.6198250905145,1,"5_d24Clock_a5.tiff","TP","Is this the same IMAGE?"
17,0,,0.810700668836944,28.4305257593514,27.6198250905145,,,,
18,1,"4_d12Clock_a6.tiff",2,30.4305257593514,28.4305257593514,,,,
19,0,,0.975749868433923,31.4062756277854,30.4305257593514,,,,
20,1,"7_d24Clock_a3.tiff",2,33.4062756277854,31.4062756277854,,,,
21,0,,0.812291100737639,34.218566728523,33.4062756277854,,,,
22,1,"8_d24Clock_a2.tiff",2,36.218566728523,34.218566728523,,,,
23,0,,0.735627158544958,36.954193887068,36.218566728523,,,,
24,1,"7_d24Clock_a6.tiff",2,38.954193887068,36.954193887068,,,,
25,0,,0.764174078823999,39.718367965892,38.954193887068,,,,
26,3,"EmptyImageryBox.tiff",3,42.718367965892,39.718367965892,,,,
27,5,"7_d12Clock_a6.tiff",3,45.718367965892,42.718367965892,2,"7_d24Clock_a6.tiff","FP","Is this the same IMAGE?"
28,0,,0.669526540557854,46.3878945064498,45.718367965892,,,,
29,1,"3_d12Clock_a1.tiff",2,48.3878945064498,46.3878945064498,,,,
30,0,,0.749124108348042,49.1370186147979,48.3878945064498,,,,
31,1,"3_d24Clock_a4.tiff",2,51.1370186147979,49.1370186147979,,,,
32,0,,0.553784160176292,51.6908027749741,51.1370186147979,,,,
33,3,"EmptyImageryBox.tiff",3,54.6908027749741,51.6908027749741,,,,
34,0,,0.656868936377577,55.3476717113517,54.6908027749741,,,,
35,1,"8_d24Clock_a4.tiff",2,57.3476717113517,55.3476717113517,,,,
36,0,,0.666013304959051,58.0136850163108,57.3476717113517,,,,
37,1,"8_d24Clock_a5.tiff",2,60.0136850163108,58.0136850163108,,,,
38,0,,0.528001605649479,60.5416866219603,60.0136850163108,,,,
39,1,"3_d12Clock_a5.tiff",2,62.5416866219603,60.5416866219603,,,,
40,0,,0.614830838516355,63.1565174604766,62.5416866219603,,,,
41,1,"6_d12Clock_a6.tiff",2,65.1565174604766,63.1565174604766,,,,
42,0,,0.696008939063177,65.8525263995398,65.1565174604766,,,,
43,3,"EmptyImageryBox.tiff",3,68.8525263995398,65.8525263995398,,,,
44,4,"6_d24Clock_a6.tiff",3,71.8525263995398,68.8525263995398,1,"6_d12Clock_a6.tiff","TP","Is this the same TIME?"
45,0,,0.778183871530928,72.6307102710707,71.8525263995398,,,,
46,1,"9_d12Clock_a4.tiff",2,74.6307102710707,72.6307102710707,,,,
47,0,,0.588219821220264,75.218930092291,74.6307102710707,,,,
48,1,"8_d12Clock_a1.tiff",2,77.218930092291,75.218930092291,,,,
49,0,,0.820963966310956,78.0398940586019,77.218930092291,,,,
50,3,"EmptyImageryBox.tiff",3,81.0398940586019,78.0398940586019,,,,
