"trialNo","trialCode","stimFile","trialDuration","timeElapsed","trialOnset","corrAns","clockSource","trialType","questionTxt"
1,0,,0.955478125018999,0.955478125018999,0,,,,
2,1,"8_aClock_a1.tiff",2,2.955478125019,0.955478125018999,,,,
3,0,,0.721067438833416,3.67654556385241,2.955478125019,,,,
4,1,"9_aClock_a2.tiff",2,5.67654556385241,3.67654556385241,,,,
5,0,,0.983971489593387,6.6605170534458,5.67654556385241,,,,
6,1,"2_aRevClock_a2.tiff",2,8.6605170534458,6.6605170534458,,,,
7,0,,0.935238804784603,9.5957558582304,8.6605170534458,,,,
8,3,"EmptyImageryBox.tiff",3,12.5957558582304,9.5957558582304,,,,
9,5,"2_aRevClock_a2.tiff",3,15.5957558582304,12.5957558582304,1,"2_aRevClock_a2.tiff","TP","Is this the same IMAGE?"
10,0,,0.571106032002717,16.1668618902331,15.5957558582304,,,,
11,1,"2_aRevClock_a4.tiff",2,18.1668618902331,16.1668618902331,,,,
12,0,,0.782782643800601,18.9496445340337,18.1668618902331,,,,
13,1,"5_aRevClock_a3.tiff",2,20.9496445340337,18.9496445340337,,,,
14,0,,0.788513492792845,21.7381580268266,20.9496445340337,,,,
15,3,"EmptyImageryBox.tiff",3,24.7381580268266,21.7381580268266,,,,
16,5,"5_aClock_a3.tiff",3,27.7381580268266,24.7381580268266,2,"5_aRevClock_a3.tiff","FP","Is this the same IMAGE?"
17,0,,0.851093875127845,28.5892519019544,27.7381580268266,,,,
18,1,"7_aRevClock_a1.tiff",2,30.5892519019544,28.5892519019544,,,,
19,0,,0.619560244260356,31.2088121462148,30.5892519019544,,,,
20,1,"9_aClock_a1.tiff",2,33.2088121462148,31.2088121462148,,,,
21,0,,0.791382954805158,34.0001951010199,33.2088121462148,,,,
22,1,"1_aClock_a5.tiff",2,36.0001951010199,34.0001951010199,,,,
23,0,,0.843828686978668,36.8440237879986,36.0001951010199,,,,
24,3,"EmptyImageryBox.tiff",3,39.8440237879986,36.8440237879986,,,,
25,5,"1_aRevClock_a5.tiff",3,42.8440237879986,39.8440237879986,2,"1_aClock_a5.tiff","FP","Is this the same IMAGE?"
